"section","itemCode","HSCode","itemLabel","isGroup","groupList"
"Livestock Primary",1151,"0208.90_a","Meat, other rodents",FALSE,"1765"
"Livestock Primary",1158,"0208.90_b","Meat, other camelids",FALSE,"1765"
"Livestock Primary",1163,"0208.90ab","Meat, game",FALSE,"1765"
"Livestock Primary",1166,"0208.90ad","Meat, nes",FALSE,"1765"
"Livestock Primary",1176,"307.6","Snails, not sea",FALSE,"1765"
"Livestock Primary",977,"0204.21_a","Meat, sheep",FALSE,"1765, 1807"
"Livestock Primary",1017,"204.5","Meat, goat",FALSE,"1765, 1807"
"Livestock Primary",882,"0401.20_a","Milk, whole fresh cow",FALSE,"1780"
"Livestock Primary",951,"0401.20_b","Milk, whole fresh buffalo",FALSE,"1780"
"Livestock Primary",982,"0401.20_c","Milk, whole fresh sheep",FALSE,"1780"
"Livestock Primary",1020,"0401.20_d","Milk, whole fresh goat",FALSE,"1780"
"Livestock Primary",1130,"0401.20_e","Milk, whole fresh camel",FALSE,"1780"
"Livestock Primary",1062,"0407.00a","Eggs, hen, in shell",FALSE,"1783"
"Livestock Primary",1091,"0407.00b","Eggs, other bird, in shell",FALSE,"1783"
"Livestock Primary",867,"0201.10_a","Meat, cattle",FALSE,"1806, 1765"
"Livestock Primary",947,"0201.10_b","Meat, buffalo",FALSE,"1806, 1765"
"Livestock Primary",1058,"0207.1_a","Meat, chicken",FALSE,"1808, 1765"
"Livestock Primary",1069,"0207.32_a","Meat, duck",FALSE,"1808, 1765"
"Livestock Primary",1073,"0207.32_b","Meat, goose and guinea fowl",FALSE,"1808, 1765"
"Livestock Primary",1080,"0207.2_a","Meat, turkey",FALSE,"1808, 1765"
"Livestock Primary",1089,"0208.90ac","Meat, bird nes",FALSE,"1808, 1765"
"Livestock Processed",1745,,"Cheese (All Kinds) > (List)",TRUE,"1745"
"Livestock Processed",1809,,"Skim Milk&Buttermilk,Dry > (List)",TRUE,"1809"
"Livestock Processed",1811,,"Butter and Ghee > (List)",TRUE,"1811"
"Livestock Processed",1816,,"Evaporat&Condensed Milk > (List)",TRUE,"1816"
"Livestock Processed",885,"0401.30_a","Cream fresh",FALSE,
"Livestock Processed",888,"0401.10_a","Milk, skimmed cow",FALSE,
"Livestock Processed",891,"403.1","Yoghurt",FALSE,
"Livestock Processed",897,"0402.2_a","Milk, whole dried",FALSE,
"Livestock Processed",900,"0404.10_b","Whey, dry",FALSE,
"Livestock Processed",1043,"1501.00_a","Lard",FALSE,
"Livestock Processed",1186,"5002","Silk raw",FALSE,
"Livestock Processed",1225,"1502.00_e","Tallow",FALSE,
"Livestock Processed",901,"0406aa","Cheese, whole cow milk",FALSE,"1745"
"Livestock Processed",904,"0406ab","Cheese, skimmed cow milk",FALSE,"1745"
"Livestock Processed",905,"0406ac","Whey, cheese",FALSE,"1745"
"Livestock Processed",955,"0406_b","Cheese, buffalo milk",FALSE,"1745"
"Livestock Processed",984,"0406_c","Cheese, sheep milk",FALSE,"1745"
"Livestock Processed",1021,"0406_d","Cheese of goat mlk",FALSE,"1745"
"Livestock Processed",898,"0402.10_a","Milk, skimmed dried",FALSE,"1809"
"Livestock Processed",899,"0403.90_a","Milk, dry buttermilk",FALSE,"1809"
"Livestock Processed",886,"0405.10_a","Butter, cow milk",FALSE,"1811"
"Livestock Processed",887,"0405.20_a","Ghee, butteroil of cow milk",FALSE,"1811"
"Livestock Processed",952,"0405.10_b","Butter, buffalo milk",FALSE,"1811"
"Livestock Processed",953,"0405.20_b","Ghee, of buffalo milk",FALSE,"1811"
"Livestock Processed",983,"0405.10_c","Butter and ghee, sheep milk",FALSE,"1811"
"Livestock Processed",1022,,"Butter of goat mlk",FALSE,"1811"
"Livestock Processed",889,"0402.99_a","Milk, whole condensed",FALSE,"1816"
"Livestock Processed",890,"0404.10_c","Whey, condensed",FALSE,"1816"
"Livestock Processed",894,"0402.91_a","Milk, whole evaporated",FALSE,"1816"
"Livestock Processed",895,"0402.91_b","Milk, skimmed evaporated",FALSE,"1816"
"Livestock Processed",896,"0402.99_b","Milk, skimmed condensed",FALSE,"1816"
