File,level,term_path,term_id,term_url,title,agrovoc
AGROVOC-Crops-c_1972.csv,2,c_1972>c_6679,c_6679,http://aims.fao.org/aos/agrovoc/c_6679,- Rubber crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_6742,c_6742,http://aims.fao.org/aos/agrovoc/c_6742,- Salad crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_6931,c_6931,http://aims.fao.org/aos/agrovoc/c_6931,- Seed crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7019,c_7019,http://aims.fao.org/aos/agrovoc/c_7019,- Shade plants,
AGROVOC-Crops-c_1972.csv,3,c_1972>c_7019>c_25548,c_25548,http://aims.fao.org/aos/agrovoc/c_25548,- - Shade trees,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7185,c_7185,http://aims.fao.org/aos/agrovoc/c_7185,- Soil reclamation plants,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7299,c_7299,http://aims.fao.org/aos/agrovoc/c_7299,- Spice crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7370,c_7370,http://aims.fao.org/aos/agrovoc/c_7370,- Starch crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7413,c_7413,http://aims.fao.org/aos/agrovoc/c_7413,- Stimulant crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7464,c_7464,http://aims.fao.org/aos/agrovoc/c_7464,- Structural crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7503,c_7503,http://aims.fao.org/aos/agrovoc/c_7503,- Sugar crops,
AGROVOC-Crops-c_1972.csv,3,c_1972>c_7503>c_7505,c_7505,http://aims.fao.org/aos/agrovoc/c_7505,- - Sugar palms,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_7599,c_7599,http://aims.fao.org/aos/agrovoc/c_7599,- Tan plants,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_8075,c_8075,http://aims.fao.org/aos/agrovoc/c_8075,- Upland crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_8165,c_8165,http://aims.fao.org/aos/agrovoc/c_8165,- Vegetable crops,
AGROVOC-Crops-c_1972.csv,3,c_1972>c_8165>c_331529,c_331529,http://aims.fao.org/aos/agrovoc/c_331529,- - Cole crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_8335,c_8335,http://aims.fao.org/aos/agrovoc/c_8335,- Wax plants,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_860,c_860,http://aims.fao.org/aos/agrovoc/c_860,- Bee plants,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_894,c_894,http://aims.fao.org/aos/agrovoc/c_894,- Beverage crops,
AGROVOC-Crops-c_1972.csv,2,c_1972>c_9458,c_9458,http://aims.fao.org/aos/agrovoc/c_9458,- Browse plants,
AGROVOC-Processing-c_6195.csv,1,c_6195,c_6195,http://aims.fao.org/aos/agrovoc/c_6195,Processing,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1002,c_1002,http://aims.fao.org/aos/agrovoc/c_1002,- Boning,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1002>c_32450,c_32450,http://aims.fao.org/aos/agrovoc/c_32450,- - Fish filleting,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1249,c_1249,http://aims.fao.org/aos/agrovoc/c_1249,- Candying,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1260,c_1260,http://aims.fao.org/aos/agrovoc/c_1260,- Canning,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1307,c_1307,http://aims.fao.org/aos/agrovoc/c_1307,- Carbonation,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_14250,c_14250,http://aims.fao.org/aos/agrovoc/c_14250,- Shelling,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_154,c_154,http://aims.fao.org/aos/agrovoc/c_154,- Aeration,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_15935,c_15935,http://aims.fao.org/aos/agrovoc/c_15935,- Alkali treatment,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_15935>c_25110,c_25110,http://aims.fao.org/aos/agrovoc/c_25110,- - Ammoniation,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_15935>c_37682,c_37682,http://aims.fao.org/aos/agrovoc/c_37682,- - Alkaline pulping,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_16127,c_16127,http://aims.fao.org/aos/agrovoc/c_16127,- Feed processing,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_16127>c_16036,c_16036,http://aims.fao.org/aos/agrovoc/c_16036,- - Silage making,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_16127>c_25675,c_25675,http://aims.fao.org/aos/agrovoc/c_25675,- - Grain crushing,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1701,c_1701,http://aims.fao.org/aos/agrovoc/c_1701,- Coating,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_17746,c_17746,http://aims.fao.org/aos/agrovoc/c_17746,- Fabrication,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1780,c_1780,http://aims.fao.org/aos/agrovoc/c_1780,- Comminution,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1780>c_10180,c_10180,http://aims.fao.org/aos/agrovoc/c_10180,- - Crumbling,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1780>c_10181,c_10181,http://aims.fao.org/aos/agrovoc/c_10181,- - Crushing,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1780>c_10886,c_10886,http://aims.fao.org/aos/agrovoc/c_10886,- - Flaking,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1780>c_11341,c_11341,http://aims.fao.org/aos/agrovoc/c_11341,- - Grating,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1780>c_14265,c_14265,http://aims.fao.org/aos/agrovoc/c_14265,- - Shredding,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1780>c_15003,c_15003,http://aims.fao.org/aos/agrovoc/c_15003,- - Trituration,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1780>c_9835,c_9835,http://aims.fao.org/aos/agrovoc/c_9835,- - Chopping,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1801,c_1801,http://aims.fao.org/aos/agrovoc/c_1801,- Concentrating,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1801>c_28324,c_28324,http://aims.fao.org/aos/agrovoc/c_28324,- - Freeze concentration,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_1854,c_1854,http://aims.fao.org/aos/agrovoc/c_1854,- Cooling,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1854>c_36844,c_36844,http://aims.fao.org/aos/agrovoc/c_36844,- - Precooling,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_1854>c_37301,c_37301,http://aims.fao.org/aos/agrovoc/c_37301,- - Evaporative cooling,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_187,c_187,http://aims.fao.org/aos/agrovoc/c_187,- Agglomerating,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_187>c_5663,c_5663,http://aims.fao.org/aos/agrovoc/c_5663,- - Pelleting,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_193,c_193,http://aims.fao.org/aos/agrovoc/c_193,- Agitating,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_193>c_4110,c_4110,http://aims.fao.org/aos/agrovoc/c_4110,- - Kneading,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_2046,c_2046,http://aims.fao.org/aos/agrovoc/c_2046,- Cutting,
AGROVOC-Processing-c_6195.csv,3,c_6195>c_2046>c_11448,c_11448,http://aims.fao.org/aos/agrovoc/c_11448,- - Halving (carcasses),
AGROVOC-Processing-c_6195.csv,2,c_6195>c_2156,c_2156,http://aims.fao.org/aos/agrovoc/c_2156,- Defoaming,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_2158,c_2158,http://aims.fao.org/aos/agrovoc/c_2158,- Degassing,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_2160,c_2160,http://aims.fao.org/aos/agrovoc/c_2160,- Degumming,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_2174,c_2174,http://aims.fao.org/aos/agrovoc/c_2174,- Demineralization,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_2178,c_2178,http://aims.fao.org/aos/agrovoc/c_2178,- Denaturation,
AGROVOC-Processing-c_6195.csv,2,c_6195>c_2188,c_2188,http://aims.fao.org/aos/agrovoc/c_2188,- Deodorizing,
