File,level,term_path,term_id,term_url,title,agrovoc
GACS-Crops-C422.csv,6,C422>C20544>C4616>C5204>C5201>C5207,C5207,http://id.agrisemantics.org/gacs/C5207,- - - - - Mangifera indica,http://aims.fao.org/aos/agrovoc/c_4575
GACS-Crops-C422.csv,6,C422>C20544>C4616>C5204>C5201>C5216,C5216,http://id.agrisemantics.org/gacs/C5216,- - - - - Mangoes,http://aims.fao.org/aos/agrovoc/c_12367
GACS-Crops-C422.csv,6,C422>C20544>C4616>C5204>C5201>C8957,C8957,http://id.agrisemantics.org/gacs/C8957,- - - - - Papayas,http://aims.fao.org/aos/agrovoc/c_13087
GACS-Crops-C422.csv,5,C422>C20544>C4616>C5204>C5813,C5813,http://id.agrisemantics.org/gacs/C5813,- - - - Coconuts,http://aims.fao.org/aos/agrovoc/c_25470
GACS-Crops-C422.csv,5,C422>C20544>C4616>C5204>C8858,C8858,http://id.agrisemantics.org/gacs/C8858,- - - - Pineapples,http://aims.fao.org/aos/agrovoc/c_13394
GACS-Crops-C422.csv,2,C422>C21043,C21043,http://id.agrisemantics.org/gacs/C21043,- Companion crops,http://aims.fao.org/aos/agrovoc/c_25549
GACS-Crops-C422.csv,2,C422>C21265,C21265,http://id.agrisemantics.org/gacs/C21265,- Erosion control plants,http://aims.fao.org/aos/agrovoc/c_2653
GACS-Crops-C422.csv,2,C422>C21668,C21668,http://id.agrisemantics.org/gacs/C21668,- Plantation crops,http://aims.fao.org/aos/agrovoc/c_13443
GACS-Crops-C422.csv,2,C422>C2222,C2222,http://id.agrisemantics.org/gacs/C2222,- Root crops,http://aims.fao.org/aos/agrovoc/c_6641
GACS-Crops-C422.csv,3,C422>C2222>C26719,C26719,http://id.agrisemantics.org/gacs/C26719,- - Armoracia rusticana,http://aims.fao.org/aos/agrovoc/c_621
GACS-Crops-C422.csv,2,C422>C23167,C23167,http://id.agrisemantics.org/gacs/C23167,- Protective plants,http://aims.fao.org/aos/agrovoc/c_6248
GACS-Crops-C422.csv,2,C422>C2390,C2390,http://id.agrisemantics.org/gacs/C2390,- Temperate crops,
GACS-Crops-C422.csv,3,C422>C2390>C2393,C2393,http://id.agrisemantics.org/gacs/C2393,- - Temperate fruits,http://aims.fao.org/aos/agrovoc/c_7655
GACS-Crops-C422.csv,4,C422>C2390>C2393>C24755,C24755,http://id.agrisemantics.org/gacs/C24755,- - - Temperate small fruits,
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C11315,C11315,http://id.agrisemantics.org/gacs/C11315,- - - - Black currants,http://aims.fao.org/aos/agrovoc/c_945
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C12924,C12924,http://id.agrisemantics.org/gacs/C12924,- - - - Vaccinium corymbosum,http://aims.fao.org/aos/agrovoc/c_8135
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C15806,C15806,http://id.agrisemantics.org/gacs/C15806,- - - - Blackberries,http://aims.fao.org/aos/agrovoc/c_947
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C17021,C17021,http://id.agrisemantics.org/gacs/C17021,- - - - Gooseberries,http://aims.fao.org/aos/agrovoc/c_3333
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C20071,C20071,http://id.agrisemantics.org/gacs/C20071,- - - - Cranberries,http://aims.fao.org/aos/agrovoc/c_1944
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C23601,C23601,http://id.agrisemantics.org/gacs/C23601,- - - - Vaccinium virgatum,http://aims.fao.org/aos/agrovoc/c_8133
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C23852,C23852,http://id.agrisemantics.org/gacs/C23852,- - - - Red currants,http://aims.fao.org/aos/agrovoc/c_6479
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C24360,C24360,http://id.agrisemantics.org/gacs/C24360,- - - - Vaccinium angustifolium,http://aims.fao.org/aos/agrovoc/c_8132
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C27118,C27118,http://id.agrisemantics.org/gacs/C27118,- - - - Vaccinium vitis-idaea,http://aims.fao.org/aos/agrovoc/c_16299
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C2741,C2741,http://id.agrisemantics.org/gacs/C2741,- - - - Strawberries,http://aims.fao.org/aos/agrovoc/c_7443
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C4771,C4771,http://id.agrisemantics.org/gacs/C4771,- - - - Roses,http://aims.fao.org/aos/agrovoc/c_6655
GACS-Crops-C422.csv,6,C422>C2390>C2393>C24755>C4771>C30167,C30167,http://id.agrisemantics.org/gacs/C30167,- - - - - Rosa hybrida,
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C7463,C7463,http://id.agrisemantics.org/gacs/C7463,- - - - Raspberries,http://aims.fao.org/aos/agrovoc/c_6458
GACS-Crops-C422.csv,5,C422>C2390>C2393>C24755>C9990,C9990,http://id.agrisemantics.org/gacs/C9990,- - - - Blueberries,http://aims.fao.org/aos/agrovoc/c_974
