level,term_path,term_id,term_url,title,agrovoc
4,c_6211>c_3032>c_7074>c_34306,c_34306,http://aims.fao.org/aos/agrovoc/c_34306,- - - Fat substitutes,
5,c_6211>c_3032>c_7074>c_34306>c_37475,c_37475,http://aims.fao.org/aos/agrovoc/c_37475,- - - - Sucrose polyester,
4,c_6211>c_3032>c_7074>c_4681,c_4681,http://aims.fao.org/aos/agrovoc/c_4681,- - - Meat substitutes,
4,c_6211>c_3032>c_7074>c_4832,c_4832,http://aims.fao.org/aos/agrovoc/c_4832,- - - Milk substitutes,
4,c_6211>c_3032>c_7074>c_9986,c_9986,http://aims.fao.org/aos/agrovoc/c_9986,- - - Coffee whiteners,
3,c_6211>c_3032>c_785,c_785,http://aims.fao.org/aos/agrovoc/c_785,- - Bakery products,
4,c_6211>c_3032>c_785>c_1071,c_1071,http://aims.fao.org/aos/agrovoc/c_1071,- - - Bread,
4,c_6211>c_3032>c_785>c_1186,c_1186,http://aims.fao.org/aos/agrovoc/c_1186,- - - Cakes,
4,c_6211>c_3032>c_785>c_16475,c_16475,http://aims.fao.org/aos/agrovoc/c_16475,- - - Biscuits,
4,c_6211>c_3032>c_785>c_26776,c_26776,http://aims.fao.org/aos/agrovoc/c_26776,- - - Doughs,
4,c_6211>c_3032>c_785>c_28486,c_28486,http://aims.fao.org/aos/agrovoc/c_28486,- - - Puff paste,
4,c_6211>c_3032>c_785>c_50116,c_50116,http://aims.fao.org/aos/agrovoc/c_50116,- - - Batters,
3,c_6211>c_3032>c_896,c_896,http://aims.fao.org/aos/agrovoc/c_896,- - Beverages,
4,c_6211>c_3032>c_896>c_1712,c_1712,http://aims.fao.org/aos/agrovoc/c_1712,- - - Cocoa beverages,
4,c_6211>c_3032>c_896>c_1731,c_1731,http://aims.fao.org/aos/agrovoc/c_1731,- - - Coffee,
4,c_6211>c_3032>c_896>c_1733,c_1733,http://aims.fao.org/aos/agrovoc/c_1733,- - - Coffee substitutes,
4,c_6211>c_3032>c_896>c_248,c_248,http://aims.fao.org/aos/agrovoc/c_248,- - - Alcoholic beverages,
5,c_6211>c_3032>c_896>c_248>c_13252,c_13252,http://aims.fao.org/aos/agrovoc/c_13252,- - - - Perry,
5,c_6211>c_3032>c_896>c_248>c_1617,c_1617,http://aims.fao.org/aos/agrovoc/c_1617,- - - - Ciders,
5,c_6211>c_3032>c_896>c_248>c_35218,c_35218,http://aims.fao.org/aos/agrovoc/c_35218,- - - - Mead,
5,c_6211>c_3032>c_896>c_248>c_4369,c_4369,http://aims.fao.org/aos/agrovoc/c_4369,- - - - Liqueurs,
5,c_6211>c_3032>c_896>c_248>c_7309,c_7309,http://aims.fao.org/aos/agrovoc/c_7309,- - - - Spirits,
6,c_6211>c_3032>c_896>c_248>c_7309>c_11154,c_11154,http://aims.fao.org/aos/agrovoc/c_11154,- - - - - Gin (beverage),
6,c_6211>c_3032>c_896>c_248>c_7309>c_13996,c_13996,http://aims.fao.org/aos/agrovoc/c_13996,- - - - - Rums,
6,c_6211>c_3032>c_896>c_248>c_7309>c_15343,c_15343,http://aims.fao.org/aos/agrovoc/c_15343,- - - - - Whiskies,
6,c_6211>c_3032>c_896>c_248>c_7309>c_23837,c_23837,http://aims.fao.org/aos/agrovoc/c_23837,- - - - - Vodka,
6,c_6211>c_3032>c_896>c_248>c_7309>c_8904,c_8904,http://aims.fao.org/aos/agrovoc/c_8904,- - - - - Arak,
6,c_6211>c_3032>c_896>c_248>c_7309>c_9394,c_9394,http://aims.fao.org/aos/agrovoc/c_9394,- - - - - Brandies,
