level,term_path,term_id,term_url,title,agrovoc
7,C422>C36>C557>C4889>C13673>C13676>C4139,C4139,http://id.agrisemantics.org/gacs/C4139,- - - - - - Plums,http://aims.fao.org/aos/agrovoc/c_6028
7,C422>C36>C557>C4889>C13673>C13676>C6305,C6305,http://id.agrisemantics.org/gacs/C6305,- - - - - - Apricots,http://aims.fao.org/aos/agrovoc/c_545
6,C422>C36>C557>C4889>C13673>C15548,C15548,http://id.agrisemantics.org/gacs/C15548,- - - - - Figs,http://aims.fao.org/aos/agrovoc/c_10840
6,C422>C36>C557>C4889>C13673>C17345,C17345,http://id.agrisemantics.org/gacs/C17345,- - - - - Pome fruits,http://aims.fao.org/aos/agrovoc/c_25497
7,C422>C36>C557>C4889>C13673>C17345>C14929,C14929,http://id.agrisemantics.org/gacs/C14929,- - - - - - Pyrus pyrifolia,http://aims.fao.org/aos/agrovoc/c_32230
7,C422>C36>C557>C4889>C13673>C17345>C17009,C17009,http://id.agrisemantics.org/gacs/C17009,- - - - - - Quinces,http://aims.fao.org/aos/agrovoc/c_13714
7,C422>C36>C557>C4889>C13673>C17345>C3071,C3071,http://id.agrisemantics.org/gacs/C3071,- - - - - - Pears,http://aims.fao.org/aos/agrovoc/c_5645
7,C422>C36>C557>C4889>C13673>C17345>C860,C860,http://id.agrisemantics.org/gacs/C860,- - - - - - Apples,http://aims.fao.org/aos/agrovoc/c_541
5,C422>C36>C557>C4889>C4895,C4895,http://id.agrisemantics.org/gacs/C4895,- - - - Subtropical tree fruits,
6,C422>C36>C557>C4889>C4895>C11759,C11759,http://id.agrisemantics.org/gacs/C11759,- - - - - Dates,http://aims.fao.org/aos/agrovoc/c_25475
6,C422>C36>C557>C4889>C4895>C15005,C15005,http://id.agrisemantics.org/gacs/C15005,- - - - - Pomegranates,http://aims.fao.org/aos/agrovoc/c_13505
6,C422>C36>C557>C4889>C4895>C15458,C15458,http://id.agrisemantics.org/gacs/C15458,- - - - - Persimmons,
6,C422>C36>C557>C4889>C4895>C24383,C24383,http://id.agrisemantics.org/gacs/C24383,- - - - - Loquats,http://aims.fao.org/aos/agrovoc/c_12246
6,C422>C36>C557>C4889>C4895>C31376,C31376,http://id.agrisemantics.org/gacs/C31376,- - - - - Carobs,http://aims.fao.org/aos/agrovoc/c_9631
6,C422>C36>C557>C4889>C4895>C31468,C31468,http://id.agrisemantics.org/gacs/C31468,- - - - - Longans,http://aims.fao.org/aos/agrovoc/c_331528
6,C422>C36>C557>C4889>C4895>C4892,C4892,http://id.agrisemantics.org/gacs/C4892,- - - - - Citrus fruits,http://aims.fao.org/aos/agrovoc/c_1641
7,C422>C36>C557>C4889>C4895>C4892>C10721,C10721,http://id.agrisemantics.org/gacs/C10721,- - - - - - Grapefruits,http://aims.fao.org/aos/agrovoc/c_3358
7,C422>C36>C557>C4889>C4895>C4892>C13234,C13234,http://id.agrisemantics.org/gacs/C13234,- - - - - - Limes,http://aims.fao.org/aos/agrovoc/c_4341
7,C422>C36>C557>C4889>C4895>C4892>C14876,C14876,http://id.agrisemantics.org/gacs/C14876,- - - - - - Sour oranges,http://aims.fao.org/aos/agrovoc/c_7006
7,C422>C36>C557>C4889>C4895>C4892>C23093,C23093,http://id.agrisemantics.org/gacs/C23093,- - - - - - Pummelos,http://aims.fao.org/aos/agrovoc/c_6367
7,C422>C36>C557>C4889>C4895>C4892>C24182,C24182,http://id.agrisemantics.org/gacs/C24182,- - - - - - Rough lemons,
7,C422>C36>C557>C4889>C4895>C4892>C28679,C28679,http://id.agrisemantics.org/gacs/C28679,- - - - - - Citranges,
7,C422>C36>C557>C4889>C4895>C4892>C31990,C31990,http://id.agrisemantics.org/gacs/C31990,- - - - - - Clementines,http://aims.fao.org/aos/agrovoc/c_9895
